Kilometers_Driven,Mileage,Engine,Power,Seats,Age,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Price
65650,28.4,1248.0,74.0,5.0,13,False,True,False,False,False,True,True,False,False,False,3.85
54000,18.9,1197.0,82.0,5.0,11,False,False,False,True,False,True,False,False,False,True,3.6
39000,15.04,1598.0,103.2,5.0,11,False,False,False,True,False,True,True,False,False,False,3.99
16542,25.17,799.0,53.3,5.0,9,False,False,False,True,False,True,True,False,False,False,3.3
32000,20.36,1197.0,78.9,5.0,16,False,False,False,True,False,True,True,False,False,False,2.07
121812,13.29,1995.0,147.6,5.0,16,False,True,False,False,True,False,True,False,False,False,7.75
39300,18.2,998.0,67.1,5.0,16,False,False,False,True,False,True,True,False,False,False,2.25
22000,13.68,2393.0,147.8,8.0,9,False,True,False,False,False,True,True,False,False,False,16.5
72000,20.0,1399.0,68.0,5.0,16,False,True,False,False,False,True,True,False,False,False,2.75
58000,11.74,1796.0,186.0,5.0,11,False,False,False,True,True,False,True,False,False,False,26.7
65000,15.8,2148.0,170.0,5.0,15,False,True,False,False,False,True,False,False,True,False,10.0
178000,25.0,1396.0,69.0,5.0,10,False,True,False,False,False,True,True,False,False,False,2.5
65664,16.55,1968.0,140.0,5.0,14,False,True,False,False,True,False,True,False,False,False,13.5
63000,16.4,1497.0,78.0,5.0,19,False,False,False,True,True,False,False,False,True,False,1.85
15369,0.0,1950.0,194.0,5.0,7,False,True,False,False,True,False,True,False,False,False,35.67
63000,24.52,1248.0,88.5,7.0,10,False,True,False,False,False,True,True,False,False,False,8.15
13000,22.1,1396.0,88.7,5.0,8,False,True,False,False,False,True,True,False,False,False,10.5
73000,8.5,4806.0,500.0,5.0,18,False,False,False,True,True,False,True,False,False,False,14.5
55729,15.1,2179.0,140.0,7.0,11,False,True,False,False,False,True,True,False,False,False,9.65
45178,16.95,1197.0,78.9,5.0,14,False,False,False,True,True,False,True,False,False,False,3.48
56066,19.64,1461.0,108.5,5.0,11,False,True,False,False,False,True,True,False,False,False,6.92
37300,16.5,1198.0,86.8,5.0,10,False,False,False,True,True,False,False,False,True,False,6.46
56000,18.53,1968.0,187.74,5.0,12,False,True,False,False,True,False,False,False,True,False,29.5
111111,17.8,1399.0,74.0,5.0,18,False,True,False,False,False,True,True,False,False,False,2.0
230000,12.4,1998.0,132.0,8.0,20,False,False,False,True,False,True,False,False,False,True,4.5
104000,12.8,2494.0,102.0,7.0,14,False,True,False,False,False,True,True,False,False,False,11.75
87591,0.0,1086.0,74.0,5.0,21,False,False,False,True,False,True,True,False,False,False,1.3
95100,22.9,1248.0,74.0,5.0,14,False,True,False,False,False,True,True,False,False,False,3.75
70000,17.57,1193.0,88.7,5.0,9,False,False,False,True,False,True,True,False,False,False,4.5
54944,18.0,1198.0,86.7,5.0,10,False,False,False,True,False,True,True,False,False,False,4.82
70337,20.0,1399.0,68.0,5.0,14,False,True,False,False,False,True,True,False,False,False,2.8
99638,23.2,1248.0,73.94,5.0,13,False,True,False,False,False,True,True,False,False,False,3.11
52000,17.8,1497.0,117.3,5.0,17,False,False,False,True,False,True,True,False,False,False,3.25
75000,16.73,1995.0,218.0,5.0,15,False,True,False,False,True,False,False,False,True,False,13.9
95980,20.36,1197.0,78.9,5.0,17,False,False,False,True,False,True,True,False,False,False,2.25
16000,18.9,1197.0,82.0,5.0,10,False,False,False,True,False,True,True,False,False,False,5.75
73745,17.0,1086.0,74.0,5.0,19,False,False,False,True,False,True,True,False,False,False,2.1
18949,17.8,1198.0,86.7,5.0,10,False,False,False,True,False,True,True,False,False,False,5.0
107000,13.0,2982.0,168.5,7.0,12,False,True,False,False,False,True,True,False,False,False,16.5
48367,17.68,1968.0,174.33,5.0,8,False,True,False,False,True,False,True,False,False,False,39.58
57000,22.7,1498.0,89.84,5.0,13,False,True,False,False,False,True,True,False,False,False,5.5
58000,15.1,2179.0,140.0,7.0,12,False,True,False,False,False,True,True,False,False,False,8.1
30000,25.8,1498.0,98.6,5.0,11,False,True,False,False,False,True,True,False,False,False,3.5
34212,22.07,1199.0,73.9,5.0,13,False,True,False,False,False,True,True,False,False,False,2.79
70002,16.2,1493.0,110.0,5.0,16,False,True,False,False,False,True,True,False,False,False,3.45
62000,18.9,998.0,67.1,5.0,10,False,False,False,True,False,True,True,False,False,False,4.45
62001,15.26,1598.0,103.5,5.0,16,False,False,False,True,False,True,True,False,False,False,2.65
78958,23.0,1396.0,90.0,5.0,15,False,True,False,False,False,True,False,False,True,False,3.8
30180,18.5,1197.0,82.85,5.0,12,False,False,False,True,False,True,True,False,False,False,4.65
32851,19.83,1198.0,67.0,7.0,9,False,False,False,True,False,True,True,False,False,False,3.95
30000,14.94,2967.0,241.4,5.0,16,False,True,False,False,True,False,True,False,False,False,9.8
66000,17.0,1197.0,80.0,5.0,17,False,False,False,True,False,True,False,False,True,False,2.7
93850,14.0,796.0,35.0,5.0,16,False,False,False,True,False,True,True,False,False,False,2.41
53000,17.71,1197.0,78.9,5.0,12,False,False,False,True,False,True,True,False,False,False,3.9
78000,14.74,2993.0,270.9,5.0,15,False,True,False,False,True,False,False,False,True,False,24.0
65000,16.0,2179.0,140.0,7.0,14,False,True,False,False,False,True,False,False,True,False,5.75
40000,22.32,1582.0,126.32,5.0,12,False,True,False,False,True,False,True,False,False,False,5.25
30000,11.36,2755.0,171.5,7.0,9,False,True,False,False,True,False,True,False,False,False,19.25
38053,15.1,1196.0,73.0,5.0,9,False,False,False,True,False,True,True,False,False,False,3.91
25500,25.4,624.0,37.5,4.0,12,False,False,False,True,False,True,True,False,False,False,2.15
56087,22.69,1995.0,190.0,5.0,11,False,True,False,False,True,False,True,False,False,False,20.75
71088,13.5,1799.0,130.0,5.0,16,False,False,False,True,False,True,True,False,False,False,3.35
55000,12.99,2494.0,100.6,7.0,12,False,True,False,False,False,True,True,False,False,False,11.11
32700,23.3,1984.0,150.0,5.0,12,False,True,False,False,True,False,True,False,False,False,20.0
39882,19.15,1198.0,75.94,5.0,10,False,False,False,True,True,False,True,False,False,False,6.55
128000,10.8,2497.0,215.0,5.0,17,False,False,False,True,True,False,True,False,False,False,7.0
55000,24.3,1248.0,88.5,5.0,10,False,True,False,False,False,True,True,False,False,False,7.5
102000,17.0,1086.0,74.0,5.0,21,False,False,False,True,False,True,False,False,True,False,0.85
53753,15.0,2143.0,107.3,5.0,12,False,True,False,False,True,False,False,False,True,False,16.75
10250,22.0,1582.0,126.2,5.0,8,False,True,False,False,False,True,True,False,False,False,10.95
43874,18.9,998.0,67.1,5.0,15,False,False,False,True,False,True,True,False,False,False,2.45
32684,21.9,624.0,37.48,4.0,9,False,False,False,True,True,False,True,False,False,False,3.23
42000,12.05,2179.0,120.0,8.0,12,False,True,False,False,False,True,True,False,False,False,7.75
28352,11.7,1796.0,178.0,5.0,17,False,False,False,True,True,False,True,False,False,False,9.35
89900,26.6,998.0,58.16,5.0,13,True,False,False,False,False,True,True,False,False,False,3.25
47700,10.8,2354.0,152.0,5.0,19,False,False,False,True,False,True,False,False,True,False,5.25
55000,21.21,1498.0,103.2,5.0,11,False,True,False,False,True,False,True,False,False,False,7.25
44285,20.73,1373.0,91.1,5.0,9,False,False,False,True,False,True,True,False,False,False,7.47
54000,16.0,2179.0,140.0,7.0,10,False,True,False,False,True,False,True,False,False,False,13.25
30232,21.1,1197.0,85.8,5.0,10,False,False,False,True,False,True,True,False,False,False,5.81
88500,24.07,998.0,67.1,5.0,12,False,False,False,True,False,True,True,False,False,False,2.6
12645,17.0,1591.0,121.3,5.0,7,False,False,False,True,True,False,True,False,False,False,11.5
94385,19.7,796.0,46.3,5.0,16,False,False,False,True,False,True,False,False,True,False,1.6
31821,20.58,1995.0,143.0,5.0,11,False,True,False,False,True,False,True,False,False,False,17.22
12000,19.0,1199.0,88.7,5.0,11,False,False,False,True,True,False,True,False,False,False,6.0
88578,13.5,1799.0,130.0,5.0,14,False,False,False,True,False,True,True,False,False,False,3.95
44965,19.27,2143.0,170.0,5.0,12,False,True,False,False,True,False,True,False,False,False,17.95
45044,25.8,1498.0,98.6,5.0,12,False,True,False,False,False,True,True,False,False,False,3.7
34204,22.0,1197.0,81.8,5.0,10,False,False,False,True,False,True,True,False,False,False,5.43
80759,17.0,1086.0,74.0,5.0,18,False,False,False,True,False,True,False,False,False,True,1.67
91235,11.5,2982.0,171.0,7.0,14,False,True,False,False,False,True,True,False,False,False,13.49
38800,18.6,1199.0,76.8,5.0,12,False,False,False,True,False,True,True,False,False,False,2.85
83000,21.14,1498.0,103.52,5.0,13,False,True,False,False,False,True,True,False,False,False,4.75
41283,20.73,1373.0,91.1,5.0,8,False,False,False,True,False,True,True,False,False,False,9.9
23000,11.05,2894.0,444.0,4.0,13,False,False,False,True,True,False,True,False,False,False,37.0
48000,21.76,1995.0,190.0,5.0,12,False,True,False,False,True,False,True,False,False,False,26.5
48214,17.11,1968.0,174.33,5.0,11,False,True,False,False,True,False,True,False,False,False,23.32
35000,22.9,1248.0,74.0,5.0,10,False,True,False,False,False,True,True,False,False,False,6.25
35277,7.81,5461.0,362.9,5.0,16,False,False,False,True,True,False,True,False,False,False,30.0
54620,21.66,1498.0,103.52,5.0,10,False,True,False,False,True,False,True,False,False,False,9.86
136997,17.2,1968.0,138.1,5.0,14,False,True,False,False,True,False,True,False,False,False,8.5
14322,21.1,814.0,55.2,5.0,7,False,False,False,True,False,True,True,False,False,False,4.23
65634,22.07,1199.0,73.9,5.0,14,False,True,False,False,False,True,True,False,False,False,3.5
6000,20.63,1198.0,67.06,5.0,10,False,False,False,True,False,True,True,False,False,False,2.5
33280,19.4,1198.0,86.8,5.0,13,False,False,False,True,False,True,True,False,False,False,2.39
29000,14.8,1595.0,120.7,5.0,13,False,False,False,True,True,False,True,False,False,False,11.25
42831,26.0,1498.0,98.6,5.0,11,False,True,False,False,False,True,True,False,False,False,7.11
90000,12.99,2494.0,100.6,7.0,10,False,True,False,False,False,True,True,False,False,False,10.9
24005,20.4,1197.0,81.8,5.0,9,False,False,False,True,False,True,True,False,False,False,6.2
32792,15.1,2179.0,140.0,7.0,14,False,True,False,False,False,True,True,False,False,False,7.9
147898,22.7,1498.0,89.84,5.0,12,False,True,False,False,False,True,True,False,False,False,4.42
131765,13.0,2982.0,168.5,7.0,14,False,True,False,False,False,True,True,False,False,False,13.5
65000,21.5,1498.0,108.5,5.0,13,False,True,False,False,True,False,True,False,False,False,6.25
66123,20.0,1399.0,68.0,5.0,16,False,True,False,False,False,True,False,False,True,False,2.1
23550,19.27,2143.0,167.62,5.0,9,False,True,False,False,True,False,True,False,False,False,33.66
45000,19.4,1198.0,86.8,5.0,14,False,False,False,True,False,True,False,False,True,False,3.65
60000,20.36,1197.0,78.9,5.0,13,False,False,False,True,False,True,True,False,False,False,2.75
1000,18.9,1197.0,81.86,5.0,7,False,False,False,True,False,True,True,False,False,False,6.5
62500,17.68,1968.0,174.33,5.0,14,False,True,False,False,True,False,False,False,True,False,19.0
21000,14.4,1598.0,103.6,5.0,13,False,False,False,True,True,False,False,False,True,False,4.45
8525,16.6,1998.0,112.0,5.0,9,False,True,False,False,True,False,False,False,True,False,23.0
29000,22.54,1396.0,88.73,5.0,12,False,True,False,False,False,True,True,False,False,False,8.35
40000,17.68,1968.0,174.33,5.0,12,False,True,False,False,True,False,True,False,False,False,22.95
88000,25.44,936.0,57.6,5.0,14,False,True,False,False,False,True,True,False,False,False,1.5
53537,13.7,1798.0,157.75,5.0,14,False,False,False,True,True,False,True,False,False,False,6.89
216000,17.8,1399.0,68.0,5.0,20,False,True,False,False,False,True,False,False,True,False,1.45
51000,22.48,1995.0,190.0,5.0,12,False,True,False,False,True,False,True,False,False,False,33.5
118500,12.9,1598.0,102.5,5.0,19,False,False,False,True,False,True,True,False,False,False,1.25
63000,22.07,1199.0,73.9,5.0,14,False,True,False,False,False,True,True,False,False,False,4.2
25000,19.98,1461.0,108.5,8.0,11,False,True,False,False,False,True,True,False,False,False,6.75
37382,13.0,2143.0,201.1,5.0,12,False,True,False,False,True,False,True,False,False,False,32.0
24773,21.4,1197.0,83.1,5.0,9,False,False,False,True,False,True,True,False,False,False,7.5
62000,22.32,1582.0,126.32,5.0,14,False,True,False,False,False,True,True,False,False,False,4.6
52340,19.81,1086.0,68.05,5.0,9,False,False,False,True,False,True,True,False,False,False,4.04
56739,15.4,1997.0,120.0,7.0,10,False,True,False,False,False,True,True,False,False,False,10.31
120000,20.0,1399.0,68.0,5.0,16,False,True,False,False,False,True,True,False,False,False,2.6
33000,25.47,1248.0,88.5,7.0,10,False,True,False,False,False,True,True,False,False,False,8.5
52000,25.8,1498.0,98.6,5.0,12,False,True,False,False,False,True,True,False,False,False,3.5
43571,20.36,1197.0,78.9,5.0,11,False,False,False,True,False,True,True,False,False,False,3.55
50000,25.8,1498.0,98.6,5.0,13,False,True,False,False,False,True,True,False,False,False,3.25
113000,17.5,1896.0,106.0,5.0,18,False,True,False,False,False,True,True,False,False,False,4.5
90000,19.87,1461.0,83.8,5.0,12,False,True,False,False,False,True,True,False,False,False,5.35
29000,17.45,1493.0,100.0,7.0,9,False,True,False,False,False,True,False,False,True,False,6.5
20000,24.3,1248.0,88.5,5.0,10,False,True,False,False,False,True,True,False,False,False,9.0
61012,18.6,1197.0,81.83,5.0,10,False,False,False,True,False,True,True,False,False,False,6.0
87459,14.7,1390.0,85.0,5.0,17,False,False,False,True,False,True,True,False,False,False,2.75
70500,15.64,1193.0,64.1,5.0,16,False,False,False,True,False,True,True,False,False,False,1.5
64103,15.73,1968.0,174.33,5.0,11,False,True,False,False,True,False,True,False,False,False,19.9
76000,14.7,1798.0,177.5,5.0,12,False,False,False,True,True,False,True,False,False,False,10.0
104000,23.59,1364.0,67.06,5.0,12,False,True,False,False,False,True,True,False,False,False,3.0
37245,14.8,1595.0,120.7,5.0,12,False,False,False,True,True,False,True,False,False,False,11.96
45000,27.4,1498.0,98.6,5.0,13,False,True,False,False,False,True,True,False,False,False,3.25
117837,22.32,1582.0,126.32,5.0,14,False,True,False,False,False,True,False,False,True,False,4.75
30000,20.46,1461.0,83.8,5.0,12,False,True,False,False,False,True,True,False,False,False,5.95
27057,15.29,1591.0,121.3,5.0,11,False,False,False,True,False,True,False,False,True,False,8.15
8500,20.51,998.0,67.0,5.0,10,False,False,False,True,True,False,True,False,False,False,4.22
30500,11.74,1796.0,186.0,5.0,16,False,False,False,True,True,False,True,False,False,False,10.5
44000,19.81,1086.0,68.05,5.0,14,False,False,False,True,False,True,False,False,True,False,2.9
10500,14.3,1598.0,103.52,5.0,9,False,False,False,True,True,False,True,False,False,False,8.9
26000,14.67,1798.0,177.46,5.0,9,False,False,False,True,True,False,True,False,False,False,26.0
25166,17.19,1197.0,81.86,5.0,8,False,False,False,True,False,True,True,False,False,False,8.22
64000,25.8,1498.0,98.6,5.0,12,False,True,False,False,False,True,False,False,True,False,3.5
61000,18.9,998.0,67.1,5.0,22,False,False,False,True,False,True,False,False,True,False,1.25
107000,21.03,1461.0,65.0,5.0,13,False,True,False,False,False,True,True,False,False,False,3.7
29161,19.27,2143.0,167.62,5.0,8,False,True,False,False,True,False,True,False,False,False,39.41
32000,22.5,998.0,67.04,5.0,13,False,False,False,True,False,True,True,False,False,False,2.65
46173,19.01,1461.0,108.5,5.0,11,False,True,False,False,False,True,False,False,True,False,8.92
47000,17.8,1248.0,74.0,5.0,13,False,True,False,False,False,True,True,False,False,False,4.1
26327,16.82,1998.0,189.08,4.0,9,False,False,False,True,True,False,True,False,False,False,35.67
70436,0.0,1498.0,99.0,5.0,11,False,True,False,False,False,True,True,False,False,False,3.6
200000,17.2,1396.0,53.5,5.0,19,False,True,False,False,False,True,False,False,True,False,0.85
60813,18.6,1199.0,76.8,5.0,10,False,False,False,True,False,True,False,False,True,False,3.32
45000,22.07,1199.0,73.9,5.0,14,False,True,False,False,False,True,True,False,False,False,3.6
64000,22.9,1248.0,74.0,5.0,10,False,True,False,False,False,True,True,False,False,False,6.8
41284,20.0,1399.0,68.05,5.0,14,False,True,False,False,False,True,True,False,False,False,2.5
14165,11.36,2755.0,171.5,7.0,7,False,True,False,False,True,False,True,False,False,False,19.64
67000,11.72,2199.0,194.3,7.0,15,False,True,False,False,True,False,False,False,True,False,7.0
32572,17.4,1497.0,117.3,5.0,15,False,False,False,True,False,True,True,False,False,False,3.87
14960,18.6,1197.0,81.83,5.0,8,False,False,False,True,False,True,True,False,False,False,6.27
55980,19.27,2143.0,167.62,5.0,11,False,True,False,False,True,False,True,False,False,False,18.12
74000,25.44,936.0,57.6,5.0,13,False,True,False,False,False,True,True,False,False,False,2.65
56847,22.54,1396.0,88.73,5.0,11,False,True,False,False,False,True,True,False,False,False,7.2
121374,12.99,2494.0,100.6,7.0,11,False,True,False,False,False,True,True,False,False,False,14.3
52000,20.77,1248.0,88.76,7.0,13,False,True,False,False,False,True,True,False,False,False,6.9
118000,12.8,2494.0,102.0,7.0,12,False,True,False,False,False,True,True,False,False,False,10.75
72000,17.0,1086.0,74.0,5.0,19,False,False,False,True,False,True,False,False,False,True,0.95
33915,17.8,1497.0,117.3,5.0,10,False,False,False,True,False,True,True,False,False,False,8.09
82002,17.05,1995.0,184.0,5.0,12,False,True,False,False,True,False,True,False,False,False,18.5
33000,24.0,1120.0,70.0,5.0,9,False,True,False,False,False,True,True,False,False,False,4.75
34000,28.09,1248.0,88.5,5.0,10,False,True,False,False,False,True,True,False,False,False,8.45
55000,20.5,1598.0,103.6,5.0,14,False,True,False,False,False,True,True,False,False,False,3.5
160538,13.1,1493.0,82.0,5.0,20,False,True,False,False,False,True,True,False,False,False,1.8
60000,19.91,1498.0,103.6,5.0,12,False,True,False,False,False,True,False,False,True,False,3.7
49575,18.7,1199.0,88.7,5.0,9,False,False,False,True,False,True,True,False,False,False,7.17
83000,19.81,1086.0,68.05,5.0,16,False,False,False,True,False,True,True,False,False,False,1.75
51346,16.38,1995.0,183.0,5.0,8,False,True,False,False,True,False,True,False,False,False,21.99
43000,13.68,2393.0,147.8,7.0,9,False,True,False,False,False,True,True,False,False,False,18.65
35000,19.7,796.0,35.0,5.0,15,False,False,False,True,False,True,False,False,False,True,1.85
27872,20.4,1197.0,81.8,5.0,9,False,False,False,True,False,True,False,False,True,False,5.95
16514,18.9,1197.0,82.0,5.0,12,False,False,False,True,False,True,True,False,False,False,3.75
120000,22.9,1248.0,74.0,5.0,14,False,True,False,False,False,True,True,False,False,False,3.75
143275,22.0,1582.0,126.2,5.0,18,False,True,False,False,False,True,True,False,False,False,2.6
99000,0.0,1086.0,74.0,5.0,20,False,False,False,True,False,True,True,False,False,False,1.75
52000,17.0,1197.0,80.0,5.0,16,False,False,False,True,False,True,True,False,False,False,2.8
57000,15.8,2148.0,170.0,5.0,12,False,True,False,False,False,True,False,False,True,False,18.0
88500,23.2,1248.0,73.94,5.0,12,False,True,False,False,False,True,True,False,False,False,4.35
28000,19.67,1582.0,126.2,5.0,10,False,True,False,False,False,True,True,False,False,False,13.75
67000,19.0,998.0,66.1,5.0,16,False,False,False,True,False,True,True,False,False,False,2.0
26000,19.64,1461.0,108.45,5.0,10,False,True,False,False,False,True,True,False,False,False,10.0
120000,17.8,1248.0,76.0,5.0,16,False,True,False,False,False,True,True,False,False,False,1.65
36000,20.36,1197.0,78.9,5.0,16,False,False,False,True,False,True,False,False,True,False,3.25
47000,12.8,2494.0,102.0,7.0,10,False,True,False,False,False,True,True,False,False,False,12.8
60000,17.3,993.0,60.0,5.0,24,False,False,False,True,False,True,False,False,False,True,0.55
31025,28.4,1248.0,74.0,5.0,8,False,True,False,False,False,True,True,False,False,False,7.15
105000,12.05,2179.0,120.0,8.0,13,False,True,False,False,False,True,False,False,True,False,7.0
121900,22.95,1248.0,74.0,5.0,9,False,True,False,False,False,True,True,False,False,False,3.75
22695,18.88,999.0,123.24,5.0,9,False,False,False,True,False,True,True,False,False,False,8.5
73000,23.4,1248.0,74.0,5.0,14,False,True,False,False,False,True,True,False,False,False,4.35
32227,22.74,796.0,47.3,5.0,10,False,False,False,True,False,True,True,False,False,False,3.26
55000,17.0,1497.0,118.0,5.0,15,False,False,False,True,False,True,True,False,False,False,4.21
48000,17.0,1896.0,105.0,5.0,17,False,True,False,False,True,False,False,False,True,False,2.95
54308,17.1,1591.0,121.3,5.0,14,False,False,False,True,False,True,True,False,False,False,4.28
78442,16.8,1497.0,118.0,5.0,17,False,False,False,True,True,False,True,False,False,False,3.57
46000,21.9,1396.0,88.8,5.0,13,False,True,False,False,False,True,True,False,False,False,3.11
45051,15.0,1396.0,98.6,5.0,12,False,False,False,True,True,False,True,False,False,False,5.96
69000,20.54,1598.0,103.6,5.0,15,False,True,False,False,False,True,True,False,False,False,4.7
49000,17.4,1497.0,117.3,5.0,12,False,False,False,True,False,True,True,False,False,False,6.9
45000,22.95,1248.0,74.0,5.0,8,False,True,False,False,False,True,True,False,False,False,5.25
64000,18.48,1995.0,177.0,5.0,11,False,True,False,False,True,False,True,False,False,False,28.0
60000,18.9,1061.0,67.0,5.0,17,False,False,False,True,False,True,True,False,False,False,1.35
62178,18.2,1199.0,88.7,5.0,11,False,False,False,True,False,True,True,False,False,False,4.85
58006,15.0,1896.0,105.0,5.0,14,False,True,False,False,False,True,True,False,False,False,6.7
74000,20.36,1197.0,78.9,5.0,16,False,False,False,True,False,True,True,False,False,False,3.1
77771,19.27,2143.0,170.0,5.0,11,False,True,False,False,True,False,True,False,False,False,18.64
45275,20.36,1197.0,78.9,5.0,14,False,False,False,True,False,True,True,False,False,False,2.8
48000,13.68,2393.0,147.8,7.0,10,False,True,False,False,False,True,True,False,False,False,20.25
31652,17.68,1968.0,174.33,5.0,11,False,True,False,False,True,False,True,False,False,False,26.78
109000,12.99,2494.0,100.6,7.0,16,False,True,False,False,False,True,False,False,True,False,8.26
31978,16.47,1198.0,73.9,5.0,11,False,False,False,True,False,True,True,False,False,False,3.89
70000,20.92,998.0,67.1,5.0,15,False,False,False,True,False,True,True,False,False,False,2.1
15000,18.0,1497.0,117.3,5.0,9,False,False,False,True,True,False,True,False,False,False,12.69
59138,17.0,1405.0,70.0,5.0,13,False,True,False,False,False,True,True,False,False,False,2.58
61726,17.68,1968.0,174.33,5.0,12,False,True,False,False,True,False,True,False,False,False,20.77
48000,17.9,2143.0,136.0,5.0,11,False,True,False,False,True,False,True,False,False,False,20.26
58000,0.0,1086.0,74.0,5.0,20,False,False,False,True,False,True,False,False,True,False,1.5
